description,category,priority,possible_cause,recommended_steps
"No tengo internet en mi computadora pero el WiFi aparece conectado",REDES,MEDIUM,Falla de asignación de IP,Reiniciar el router;Renovar IP en el equipo;Verificar DNS
"No hay acceso a la VPN corporativa desde casa",REDES,HIGH,Certificado expirado o bloqueo de ISP,Renovar certificado;Cambiar puerto de conexión;Verificar log de firewall
"Latencia muy alta al acceder al ERP",REDES,MEDIUM,Saturación de ancho de banda,Monitorear tráfico de red;Bloquear descargas no autorizadas;Aplicar QoS
"Pérdida de paquetes constante hacia el servidor principal",REDES,HIGH,Cable de red defectuoso o puerto de switch dañado,Reemplazar cable UTP;Cambiar puerto en el switch;Verificar velocidad del enlace
"Los teléfonos IP no registran extensión",REDES,CRITICAL,Caída de PBX o VLAN de voz inaccesible,Reiniciar PBX;Verificar switch principal;Revisar configuración DHCP
"No se pueden resolver nombres de dominio internos",REDES,HIGH,Servidor DNS caído,Verificar servicio DNS;Reiniciar servicio de red;Configurar DNS secundario
"Falla conexión WiFi en sala de reuniones",REDES,MEDIUM,Access Point desconectado,Verificar PoE del Access Point;Reiniciar AP;Verificar cableado estructurado
"Intermitencia en el acceso a la DMZ",REDES,HIGH,Reglas de firewall inconsistentes,Revisar reglas del firewall;Verificar logs de bloqueo;Ajustar políticas de seguridad
"No puedo ingresar al servidor de archivos compartido",WINDOWS_SERVER,HIGH,Servicio SMB detenido o permisos revocados,Verificar permisos de Active Directory;Reiniciar servicio SMB;Revisar espacio en disco
"Directorio Activo no replica controladores de dominio",WINDOWS_SERVER,CRITICAL,Falla de red entre servidores o error de sincronización de tiempo,Verificar conexión de red;Resincronizar tiempo con NTP;Forzar replicación manualmente
"Servidor web IIS muestra error 503",WINDOWS_SERVER,HIGH,App Pool detenido,Iniciar Application Pool;Revisar visor de eventos;Verificar uso de memoria
"Error de acceso denegado en carpeta departamental",WINDOWS_SERVER,MEDIUM,Políticas GPO mal aplicadas,Forzar gpupdate;Revisar permisos NTFS;Verificar membresía de grupo
"La unidad de red mapeada desapareció",WINDOWS_SERVER,LOW,Script de inicio de sesión no ejecutado,Ejecutar script manualmente;Revisar conectividad;Remapear unidad de red
"El servidor se reinició inesperadamente anoche",WINDOWS_SERVER,HIGH,Actualizaciones automáticas aplicadas o corte de energía,Verificar visor de eventos;Revisar política de Windows Update;Verificar logs del UPS
"Alerta de disco C casi lleno en controlador de dominio",WINDOWS_SERVER,CRITICAL,Acumulación de logs y temporales,Eliminar archivos temporales;Purgar logs antiguos;Expandir disco virtual
"Error de confianza entre estaciones y el dominio",WINDOWS_SERVER,HIGH,Desincronización de cuenta de equipo,Desunir y volver a unir el equipo al dominio;Resetear cuenta de computadora;Verificar conexión al DC
"La impresora no responde desde mi equipo",IMPRESORA,LOW,Cola de impresión atascada,Reiniciar cola de impresión;Verificar encendido;Revisar bandeja de papel
"Impresora láser imprime con rayas oscuras",IMPRESORA,MEDIUM,Tóner defectuoso o fusor dañado,Reemplazar tóner;Limpiar rodillo de transferencia;Solicitar cambio de fusor
"La impresora de red aparece como desconectada",IMPRESORA,MEDIUM,IP de la impresora cambiada o cable desconectado,Asignar IP estática;Verificar conexión física;Reinstalar driver
"Impresora térmica emite pitidos y no imprime",IMPRESORA,LOW,Falta de papel o atasco interno,Cargar papel;Retirar papel atascado;Reiniciar impresora
"Atasco de papel recurrente en la bandeja 2",IMPRESORA,LOW,Rodillos de tracción desgastados,Limpiar rodillos con alcohol isopropílico;Reemplazar kit de rodillos;Verificar tipo de papel
"La impresora multifuncional no escanea a la carpeta compartida",IMPRESORA,MEDIUM,Credenciales de escaneo expiradas,Actualizar contraseña en libreta de direcciones;Verificar permisos de carpeta;Revisar conectividad SMB
"Impresión muy lenta al enviar PDFs pesados",IMPRESORA,LOW,Falta de memoria en la impresora,Reducir resolución del documento;Actualizar firmware;Aumentar RAM del equipo
